Node ID,Element ID,Dim 1,Dim 2,Dim 3,Volume
0,C1,349.999999999983,99.9999999999995,25,0.875
1,C2,349.999999999983,99.9999999999998,25,0.874999999999999
2,S1,21,1148.06434213918,384.050125546505,31.599042179355
3,S2,21,841.969023959596,842.661444158764,22.2306213686121
4,S3,21,685.535711721498,304.189953511941,18.5085620683099
5,S4,21,297.104805398177,297.104805398225,2.05708754200659
6,S5,21,323.536914548352,323.536914548352,1.95419262215985
7,W1,349.999999999983,25,296.472911963882,2.70351297968383
8,W2,349.999999999983,25,220.090293453725,1.92579006771999
9,W3,349.999999999983,25,330.135440180587,2.88868510157999
10,W4,349.999999999983,25,187.274266365689,1.74802483069969
11,W5,349.999999999983,25,167.381489841986,1.35521303611731
12,W6,349.999999999983,25,220.090293453724,1.92579006771999
13,W7,349.999999999983,25,220.090293453725,1.92579006771999
14,W8,349.999999999983,25,220.090293453725,1.92579006771999
15,W9,349.999999999983,25,330.135440180587,2.88868510157999
16,W10,349.999999999983,25,102.229119638824,1.00387979683966
17,W11,349.999999999983,25,220.090293453724,1.92579006771999
18,W12,349.999999999983,25,110.045146726862,0.962895033859992
19,W13,349.999999999983,25,277.849887133183,2.54056151241522
20,W14,349.999999999983,25,187.274266365688,1.52927483069969
21,W15,349.999999999983,25,220.090293453724,1.92579006771999
22,W16,349.999999999983,25,97.7708803611739,0.855495203160228
23,W17,349.999999999983,25,297.319413092551,2.71091986455968
24,W18,349.999999999983,25,277.849887133183,2.32181151241523
25,W19,349.999999999983,25,220,1.92499999999991
26,W20,349.999999999983,25,220.090293453724,1.92579006771999
27,W21,349.999999999983,25,542.381489841986,4.63646303611714
28,W22,349.999999999983,25,22.2065462753932,0.303682279909676
29,W23,349.999999999983,25,22.2065462753937,0.084932279909692
30,W24,349.999999999983,25,602.059819413093,5.15864841986431
31,W25,349.999999999983,25,489.700902934537,4.28488290067699
32,W26,349.999999999983,25,264.92663656885,2.09935806997733
33,W27,349.999999999983,25,407.364559819413,3.4550648984197
34,W28,349.999999999983,25,33.2110609480813,0.399971783295691
35,W29,349.999999999983,25,49.943566591422,0.437006207674922
36,W30,349.999999999983,25,602.059819413091,5.11489841986428
37,W31,349.999999999983,25,32.3645598194133,0.173814898419859
38,W32,349.999999999983,25,374.971783295711,3.06225310383731
39,W33,349.999999999983,25,257.533860045148,2.25342127539493
40,W34,349.999999999983,25,232.590293453724,1.92579006771999
41,W35,349.999999999983,25,599.971783295711,5.35912810383719
42,W36,349.999999999983,25,77.2573363431147,0.566626693002225
43,W37,349.999999999983,25,22.2065462753956,0.0849322799097061
44,W38,349.999999999983,25,110.045146726862,0.962895033859992
45,W39,349.999999999983,25,167.381489841986,1.35521303611731
46,W42,349.999999999983,35,72.6015801354391,0.889369356659087
47,W43,349.999999999983,35,142.83295711061,1.5965787246049
48,W40,349.999999999983,25,342.183972911964,2.88473476297954
49,W41,349.999999999983,25,332.44920993228,2.7995555869073
