"Title","Floor Scheme Image","Floor Scheme PDF","Structure Type","Number of Floors","Gross Heigh"
"Project 022","wix:image://v1/b4bae9_a12125cc8d544e4d8d79e2ef43cf1d32~mv2.png/Project%20022.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_3c02472d90ad496090f124467c61db7a.pdf/Project%20022.pdf","Residential",19,3.15
"Project 011","wix:image://v1/b4bae9_26f815ac6229418591da6dd2e92f5eb1~mv2.png/Project%20011.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_97119d0dabd942709f18fdc85be0b06a.pdf/Project%20011.pdf","Residential",7,3.27
"Project 039","wix:image://v1/b4bae9_90e6c2e1556447f6879a7c52cbdff0fc~mv2.png/Project%20039.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_8cb6f6d9cc0e49f7a07411b941469e9c.pdf/Project%20039.pdf","Residential",10,3
"Project 037","wix:image://v1/b4bae9_5f1532e5d0444d018607cf44073dbd5d~mv2.png/Project%20037.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_86dcb2120fdb4106bf4cc2500e30ed09.pdf/Project%20037.pdf","Residential",12,3.1
"Project 031","wix:image://v1/b4bae9_2c843d8d652f4134a1517c2689db0b7e~mv2.png/Project%20031.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_1c6e8f8873fe4e649b2bf44d299267c3.pdf/Project%20031.pdf","Commercial",12,3.5
"Project 045","wix:image://v1/b4bae9_f6b287ce9d1c49cbb8774052136fc815~mv2.png/Project%20045.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_39a7eef8f88a4d009afd9bb95c93956b.pdf/Project%20045.pdf","Residential",15,3.08
"Project 009","wix:image://v1/b4bae9_0408c8964f6d49b1bcd8755487eea597~mv2.png/Project%20009.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_654d7982b84a4c2d8f84fd507e83193b.pdf/Project%20009.pdf","Residential",7,3
"Project 016","wix:image://v1/b4bae9_a2f488d755b24ea6924aa2090597c199~mv2.png/Project%20016.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_382326bcb7544484aeb3ab83e9e89239.pdf/Project%20016.pdf","Commercial",10,4
"Project 015","wix:image://v1/b4bae9_b35851f17076442fbb83fb4d0a44fb82~mv2.png/Project%20015.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_b3655ae95b5d46889818aacc76fd84f7.pdf/Project%20015.pdf","Residential",21,3
"Project 013","wix:image://v1/b4bae9_577413a3c8c844fb98481e08930a033e~mv2.png/Project%20013.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_39b2793a32c2498789e611329bbc18c6.pdf/Project%20013.pdf","Residential",21,3.1
